"PlayerName","Team","POS","ADP","PA","mRBI","mR","mSB","mHR","mOBP","PTS","aPOS","Dollars"
"Robbie Grossman","Athletics","OF/DH","595.3","158","($25.3)","($24.4)","($5.4)","($17.0)","$0.4","($71.5)","$11.8","($58.7)"
"Bradley Zimmer","Indians","OF","561.0","143","($25.5)","($25.1)","($2.3)","($16.3)","($2.4)","($71.6)","$11.8","($58.8)"
"Christian Walker","Diamondbacks","1B/OF/DH","594.5","152","($24.0)","($25.0)","($5.2)","($14.7)","($2.9)","($71.7)","$11.8","($58.8)"
"Kevin Kramer","Pirates","2B/3B","598.0","91","($27.7)","($28.0)","($4.8)","($17.7)","($1.5)","($79.6)","$19.7","($58.9)"
"Matt Davidson","Rangers","1B/DH","594.5","169","($23.1)","($24.1)","($5.7)","($13.8)","($3.5)","($70.2)","$10.3","($59.0)"
"Phillip Ervin","Reds","OF","599.2","141","($25.3)","($25.8)","($2.7)","($16.3)","($1.9)","($72.0)","$11.8","($59.2)"
"Logan Forsythe","Rangers","2B","999.0","81","($28.4)","($28.0)","($5.4)","($18.1)","($0.2)","($80.1)","$19.7","($59.4)"
"Taylor Ward","Angels","3B","593.3","148","($25.2)","($25.0)","($4.5)","($16.0)","($1.7)","($72.4)","$11.8","($59.6)"
"Aaron Altherr","Phillies","OF","600.6","146","($24.9)","($25.2)","($4.5)","($15.7)","($2.2)","($72.5)","$11.8","($59.6)"
"Alex Blandino","Reds","2B","601.0","90","($27.9)","($28.3)","($5.4)","($17.8)","($1.1)","($80.4)","$19.7","($59.7)"
"Michael Hermosillo","Angels","OF","999.0","149","($25.4)","($25.2)","($3.2)","($16.5)","($2.9)","($73.1)","$11.8","($60.3)"
"Cory Spangenberg","Brewers","2B/3B","599.1","75","($28.3)","($28.6)","($5.0)","($17.9)","($1.2)","($81.0)","$19.7","($60.3)"
"Miguel Rojas","Marlins","1B/3B/SS","587.7","206","($24.1)","($24.4)","($4.4)","($16.8)","($2.7)","($72.4)","$10.5","($60.9)"
"Melky Cabrera","Pirates","OF","598.7","141","($25.1)","($25.5)","($5.3)","($16.8)","($1.0)","($73.7)","$11.8","($60.9)"
"Garrett Cooper","Marlins","1B/OF","999.0","169","($24.6)","($25.4)","($5.3)","($16.3)","($2.2)","($73.8)","$11.8","($60.9)"
"Jarrod Dyson","Diamondbacks","OF","586.1","127","($27.1)","($26.5)","($1.3)","($18.1)","($1.1)","($74.0)","$11.8","($61.2)"
"Brad Miller","Dodgers","1B/2B","999.0","61","($28.7)","($29.0)","($5.6)","($17.7)","($1.0)","($81.9)","$19.7","($61.2)"
"Max Moroff","Indians","2B/SS","999.0","149","($25.5)","($24.9)","($4.7)","($16.3)","($1.5)","($72.9)","$10.5","($61.4)"
"Brandon Phillips","","2B/3B","999.0","71","($28.7)","($28.8)","($5.2)","($18.3)","($1.4)","($82.3)","$19.7","($61.6)"
"Austin Jackson","","OF","999.0","180","($25.4)","($24.6)","($4.6)","($17.4)","($2.9)","($74.9)","$11.8","($62.1)"
"Yoenis Cespedes","Mets","OF","537.4","98","($26.0)","($26.9)","($5.4)","($15.5)","($1.1)","($74.9)","$11.8","($62.1)"
"Victor Reyes","Tigers","OF/DH","600.8","156","($25.5)","($25.6)","($2.9)","($17.8)","($3.2)","($75.0)","$11.8","($62.2)"
"Tommy La Stella","Angels","3B","999.0","156","($25.7)","($25.0)","($5.1)","($17.6)","($1.5)","($75.0)","$11.8","($62.2)"
"Ronald Torreyes","Twins","2B","999.0","70","($28.8)","($28.9)","($5.5)","($18.8)","($1.1)","($83.1)","$19.7","($62.4)"
"Rio Ruiz","Orioles","3B","999.0","136","($25.8)","($26.0)","($5.3)","($16.4)","($1.9)","($75.5)","$11.8","($62.7)"
"Aledmys Diaz","Astros","3B/SS","534.3","117","($25.5)","($26.0)","($5.0)","($16.2)","($1.6)","($74.3)","$10.5","($62.7)"
"Nick Williams","Phillies","OF","552.8","107","($25.9)","($26.8)","($5.2)","($16.0)","($1.7)","($75.6)","$11.8","($62.8)"
"Noel Cuevas","Rockies","OF","999.0","121","($26.1)","($26.5)","($4.5)","($17.3)","($1.5)","($75.9)","$11.8","($63.0)"
"Richie Martin","Orioles","SS","585.5","167","($25.7)","($25.3)","($2.7)","($17.6)","($3.3)","($74.7)","$10.5","($63.1)"
"Clint Frazier","Yankees","OF/DH","550.9","96","($26.7)","($26.9)","($4.9)","($16.4)","($1.2)","($76.0)","$11.8","($63.2)"
"Drew Jackson","Orioles","2B/SS","999.0","147","($26.2)","($25.9)","($3.0)","($17.0)","($2.8)","($74.9)","$10.5","($63.4)"
